0,  0.0821380615234375,389 ,32
1,  0.6062541007995605,6447 ,129
2,  0.09856796264648438,658 ,73
3,  0.12367391586303711,1037 ,51
4,  0.24939990043640137,2172 ,127
5,  0.00202598571777344,768 ,64
6,  0.1661312484741211,1232 ,85
7,  0.6381040096282959,4396 ,235
8,  0.2373499870300293,2172 ,84
9,  0.34896111488342285,1994 ,178
10,  0.0131948471069336,1826 ,106
11,  0.0835969924926758,1540 ,84
12,  0.1812131881713867,2550 ,92
13,  0.128337001800537,5622 ,247
14,  0.06762495040893555,2580 ,87
15,  0.17336292266845703,3622 ,215
16,  0.1252161026000977,4296 ,179
17,  0.00701274871826172,979 ,50
18,  0.2792729377746582,3602 ,176
19,  0.1281452178955078,1403 ,70
20,  0.00800914352416992,503 ,33
21,  0.2239408493041992,4026 ,168
22,  0.3116610050201416,2492 ,135
23,  0.02990300178527832,1610 ,89
24,  0.28836774826049805,2010 ,128
25,  0.083466100692749,2067 ,133
26,  0.5676258563995361,6748 ,292
27,  0.01829926490783691,655 ,34
28,  0.1566731929779053,6570 ,232
29,  0.2792910099029541,6899 ,150
30,  0.25649094581604004,1846 ,120
31,  0.4614889144897461,5444 ,195
32,  0.00813725280761719,354 ,21
33,  0.4284080982208252,6200 ,262
34,  0.3454239845275879,2822 ,135
35,  0.16743111610412598,1559 ,102
36,  0.3146219253540039,2896 ,129
37,  0.39041900634765625,4993 ,117
38,  0.3060638904571533,1720 ,138
39,  0.12628769874572754,1116 ,51
40,  0.48713116645813,9568 ,298
41,  0.536707878112793,3384 ,124
42,  0.21702790260314941,1414 ,98
43,  0.15400028228759766,906 ,75
44,  0.15937042236328125,1463 ,72
45,  0.12343716621398926,1165 ,77
46,  0.20107197761535645,2275 ,69
47,  0.08400082588195801,577 ,37
48,  0.23573780059814453,1466 ,127
49,  0.4542829990386963,6163 ,196
50,  0.5491058826446533,3266 ,180
51,  0.22023820877075195,1585 ,83
52,  0.31725120544433594,2504 ,114
53,  0.22707605361938477,1703 ,96
54,  0.0868539810180664,602 ,59
55,  0.25614118576049805,2487 ,112
56,  0.974992036819458,6605 ,241
57,  1.3801019191741943,4916 ,202
58,  1.0740129947662354,4630 ,191
59,  0.3845250606536865,2351 ,129
60,  0.20025110244750977,1568 ,108